timestamp,long_flux,short_flux,goes_class
2025-07-28 03:25:00,1.0166635879390104e-06,1.6210975518244616e-08,C
2025-07-28 03:26:00,9.570091967853827e-07,1.5822312971653637e-08,B
2025-07-28 03:27:00,9.32833370184273e-07,1.4518116669697377e-08,B
2025-07-28 03:28:00,9.250509265257278e-07,1.564487501115415e-08,B
2025-07-28 03:29:00,9.218965100235884e-07,1.4962127380409467e-08,B
2025-07-28 03:30:00,9.225797008244239e-07,1.3439449065461837e-08,B
2025-07-28 03:31:00,9.194431620434458e-07,1.4278078908626982e-08,B
2025-07-28 03:32:00,9.216125081887886e-07,1.4296528424676675e-08,B
2025-07-28 03:33:00,9.236573747017007e-07,1.4606473369613885e-08,B
2025-07-28 03:34:00,9.254076851410915e-07,1.4470597543540639e-08,B
2025-07-28 03:35:00,9.337999226325516e-07,1.4642334270383733e-08,B
2025-07-28 03:36:00,9.44598305701876e-07,1.4974357653669907e-08,B
2025-07-28 03:37:00,9.541224615338147e-07,1.2693582849677316e-08,B
2025-07-28 03:38:00,9.659737058621535e-07,1.4912274075864813e-08,B
2025-07-28 03:39:00,9.822758057289022e-07,1.5379395331020444e-08,B
2025-07-28 03:40:00,1.0003470162969353e-06,1.5577094923600624e-08,C
2025-07-28 03:41:00,1.015059645575749e-06,1.777630323723709e-08,C
2025-07-28 03:42:00,1.0300137326518526e-06,1.7228650710084454e-08,C
2025-07-28 03:43:00,1.0403335155671334e-06,1.781242203462539e-08,C
2025-07-28 03:44:00,1.0561635914110993e-06,1.943909764122567e-08,C
2025-07-28 03:45:00,1.0709036863116751e-06,2.0681373069471116e-08,C
2025-07-28 03:46:00,1.0842027595423193e-06,2.0247655406593857e-08,C
2025-07-28 03:47:00,1.1032637258558382e-06,2.097307140344663e-08,C
2025-07-28 03:48:00,1.131972580282547e-06,2.2490251337044765e-08,C
2025-07-28 03:49:00,1.1587618305906082e-06,2.3182365411657677e-08,C
2025-07-28 03:50:00,1.1991430729259993e-06,2.676421970751782e-08,C
2025-07-28 03:51:00,1.2578015543351552e-06,3.418579606645034e-08,C
2025-07-28 03:52:00,1.3096747002013307e-06,3.4931377004058546e-08,C
2025-07-28 03:53:00,1.3399021256310468e-06,3.815938434453916e-08,C
2025-07-28 03:54:00,1.35947808586457e-06,3.711991407875698e-08,C
2025-07-28 03:55:00,1.370071662095739e-06,3.7233822553395064e-08,C
